Share Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets,year_start,Company,Expenses,Other Income,Interest,Depreciation,Profit before tax,Tax %,Net Profit,EPS in Rs,Dividend Payout %,year_start,Price_start,Price_end,year_end,POSC,PE,ROSC,PayPrice,DAMT,DIVY,change
309.0,24521.0,158828.0,11703.0,195361.0,238.0,0.0,13613.0,181510.0,195361.0,Mar 2013,HDFC,660.0,35.0,13891.0,24.0,6573.0,26.0,4848.0,31.35,40.0,Mar 2014,655.9193725585938,739.4581298828125,Mar 2014,15.689320388349515,20.922468024197567,79.35598705501619,6.098310504836746,1254.0,1.91182034326632,1.1273613203378228
476.0,35738.0,329254.0,34864.0,400332.0,2703.0,0.0,111614.0,286015.0,400332.0,Mar 2013,HDFCBANK,12261.0,6853.0,19254.0,652.0,9751.0,31.0,6726.0,14.13,19.0,Mar 2014,280.4273986816406,404.6741638183594,Mar 2014,14.130252100840336,19.84624194491441,75.0798319327731,6.775372195913721,268.47,0.9573600912826089,1.443062146283972
40.0,4966.0,642.0,3994.0,9642.0,3071.0,62.0,3624.0,2885.0,9642.0,Mar 2013,HEROMOTOCO,20477.0,391.0,12.0,1142.0,2529.0,16.0,2118.0,106.07,57.0,Mar 2014,1543.4322509765625,2122.390869140625,Mar 2014,52.95,14.55107241422233,124.15,3.6930678339742404,6045.99,3.917237051496477,1.3751111315691007
191.0,33240.0,24508.0,8680.0,66619.0,7098.0,23605.0,20482.0,15434.0,66619.0,Mar 2013,HINDALCO,23807.0,1034.0,436.0,704.0,2047.0,17.0,1699.0,8.88,16.0,Mar 2014,103.16465759277344,161.06752014160156,Mar 2014,8.895287958115183,11.617641620807818,174.03141361256544,15.509187325719173,142.08,1.3772158345238625,1.5612664637282152
216.0,2458.0,0.0,8838.0,11512.0,2293.0,216.0,2331.0,6673.0,11512.0,Mar 2013,HINDUNILVR,21796.0,1204.0,25.0,236.0,4958.0,23.0,3797.0,17.56,105.0,Mar 2014,558.0315551757812,659.6175537109375,Mar 2014,17.578703703703702,31.778562367641303,11.37962962962963,18.816140239045218,1843.8,3.3041142259763405,1.1820434661677088
1154.0,65548.0,437955.0,32138.0,536795.0,4647.0,0.0,171394.0,360754.0,536795.0,Mar 2013,ICICIBANK,10332.0,8346.0,26209.0,490.0,11390.0,27.0,8325.0,13.12,28.0,Mar 2014,135.9484405517578,264.2817077636719,Mar 2014,7.214038128249567,10.361923822542517,56.80069324090121,20.596043534121996,367.35999999999996,2.7022009116768055,1.9439848422759618
1515.0,11943.0,53630.0,2907.0,69994.0,292.0,0.0,11272.0,58430.0,69994.0,Mar 2013,IDFC,616.0,2.0,4665.0,27.0,2468.0,28.0,1765.0,11.65,22.0,Mar 2014,34.22243881225586,61.11400985717773,Mar 2014,1.165016501650165,2.9375483959017905,7.883168316831683,64.28530742853219,256.3,7.489238315424001,1.785787687208644
287.0,35772.0,0.0,6913.0,42972.0,4453.0,1135.0,4344.0,33040.0,42972.0,Mar 2013,INFY,25747.0,2298.0,3.0,956.0,12357.0,26.0,9116.0,19.84,26.0,Mar 2014,313.36334228515625,372.6886596679688,Mar 2014,31.76306620209059,15.794523300663117,124.6411149825784,8.29707770232434,515.84,1.6461402161411491,1.189317987707788
790.0,21498.0,78.0,11652.0,34017.0,11209.0,1488.0,7060.0,14260.0,34017.0,Mar 2013,ITC,19222.0,915.0,106.0,796.0,10684.0,31.0,7418.0,6.26,56.0,Mar 2014,171.40084838867188,193.5199279785156,Mar 2014,9.38987341772152,27.38032721863768,27.212658227848102,32.67195030039368,350.56,2.0452640888046445,1.1290488337588975
93.0,12255.0,20470.0,6992.0,39810.0,14156.0,11484.0,1331.0,12839.0,39810.0,Mar 2013,JINDALSTEL,10920.0,305.0,1062.0,1048.0,2228.0,29.0,1593.0,17.04,9.0,Mar 2014,225.2917022705078,233.0,Mar 2014,17.129032258064516,13.22134402995938,131.7741935483871,3.994820896330082,153.35999999999999,0.6807174807346459,1.03421474316101
